id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid,nota,id_export
exercicio-de-animacao-foguete,exercicio-de-animacao-foguete.pdf,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,exercicio-de-animacao-foguete
fundamentosmatematicos,FundamentosMatematicos.pdf,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,fundamentosmatematicos
matematica,Matematica.cpp,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,matematica
colisao,Colisao.pdf,bloco-04,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-18,yes,no,fa1a2e23-cf8e-49bf-a2ea-6b8c5c0a710b,,colisao
animacao-v2,Animacao-v2.zip,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,animacao-v2
exercicios-teoricos-sobre-processo-de-visualizacao-2d,exercicios-teoricos-sobre-processo-de-visualizacao-2d.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,exercicios-teoricos-sobre-processo-de-visualizacao-2d
instanciamento,Instanciamento.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,instanciamento
mapeamento,Mapeamento.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,mapeamento
pagina-com-videos-sobre-instanciamento,pagina-com-videos-sobre-instanciamento.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,pagina-com-videos-sobre-instanciamento
recorte,Recorte.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,recorte
transformacoesgl,transformacoes-geometricas-em-opengl.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad, | re-chaveado S6f: pagina do site impressa no export -> bundle html,transformacoes-geometricas-em-opengl
transformacoesgeometricas,TransformacoesGeometricas.zip,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,transformacoesgeometricas
vis2d,Vis2d.pdf,bloco-06,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-25,yes,no,b33accaf-8a2c-4dc2-88e0-b3fd8fa45bad,,vis2d
bezier-animacao,Bezier-Animacao.zip,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,bezier-animacao
bezier-cpp,Bezier-CPP.zip,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,bezier-cpp
bezier-py,Bezier-PY.zip,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,bezier-py
bezier-python,Bezier-Python.zip,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,bezier-python
curvas,computacao-grafica-curvas-parametricas.pdf,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1, | re-chaveado S6f: pagina do site impressa no export -> bundle html,computacao-grafica-curvas-parametricas
curvasparametricas,CurvasParametricas.pdf,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,curvasparametricas
exercicios-sobre-curvas,exercicios-sobre-curvas.pdf,bloco-13,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-06,yes,no,858d8c04-a0c2-452c-8455-f453011041b1,,exercicios-sobre-curvas
exercicios-de-processamento-de-imagens,exercicios-de-processamento-de-imagens.pdf,bloco-07,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,09-01,yes,no,9fc18a1f-fdcb-462f-9198-1f22c629ee0a,,exercicios-de-processamento-de-imagens
introducaoprocimg,IntroducaoProcImg.pdf,bloco-07,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,09-01,yes,no,9fc18a1f-fdcb-462f-9198-1f22c629ee0a,,introducaoprocimg
segmentacaopptx,Segmentacao.pptx.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,segmentacaopptx
segmentacaodetexturas,SegmentacaoDeTexturas.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,segmentacaodetexturas
morfologiamatematicapptx,MorfologiaMatematica.pptx.pdf,bloco-08,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,09-10,yes,no,427001fa-d7be-4491-b4c5-0375ae88de61,,morfologiamatematicapptx
modelagem3d,computacao-grafica-modelagem-de-solidos.pdf,bloco-15,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-15,yes,no,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2, | re-chaveado S6f: pagina do site impressa no export -> bundle html,computacao-grafica-modelagem-de-solidos
csg,CSG.pdf,bloco-15,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-15,yes,no,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,csg
atividade,atividade.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,atividade
basico3d-py,Basico3D-PY.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,basico3d-py
opengl3d,opengl-3d.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,opengl-3d
opengl3dcpp-vdi,OpenGL3DCPP-VDI.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,opengl3dcpp-vdi
opengl3dcpp,OpenGL3DCPP.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,opengl3dcpp
basico3d-cpp,Basico3D-CPP.zip,bloco-15,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-15,yes,no,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,basico3d-cpp
basico3d-py-zip,Basico3D-PY.zip,bloco-15,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-15,yes,no,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,basico3d-py-zip
exerciciodemodelagem,ExercicioDeModelagem.pdf,bloco-15,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,10-15,yes,no,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,exerciciodemodelagem
elemoculto,ElemOculto.pdf,bloco-20,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,11-03,yes,no,41c1fa7a-87db-420c-88d4-d1b6a9a7577e,,elemoculto
exemplozbuffer,ExemploZbuffer.pdf,bloco-20,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,11-03,yes,no,41c1fa7a-87db-420c-88d4-d1b6a9a7577e,,exemplozbuffer
programabasico3d,ProgramaBasico3D.cpp,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,programabasico3d
