id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid
como-analisar-resultados-acc-pr-re-e-f1,"Como analisar resultados Acc, Pr, Re e F1.pdf",bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,06/04,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
,Como Analisar Resultados - SSE_comCorrecoes.pdf,,,,,subt-single:Roteiro+SARC,clean,06/04,no,no,
,Inteligencia Artificial Aula 29 - Aprendizagem de Maquina Medidas de avaliação.pdf,,,,,subt-single:Roteiro+SARC,clean,06/04,no,no,
agrupamento-usando-k-means-exemplo-1-ipynb,agrupamento usando k-Means exemplo 1 (.ipynb).ipynb,bloco-06,bloco-06,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
agrupamento-usando-k-means-exemplo-2-ipynb,agrupamento usando k-Means exemplo 2 (.ipynb).ipynb,bloco-06,bloco-06,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
,AprendizadoNaoSupervisionado-Agrupamento - parte1.pdf,,,,,subt-single:SARC,clean,20/04,no,no,
,AprendizadoNaoSupervisionado-Agrupamento - parte2.pdf,,,,,obs:Roteiro+SARC,clean,27/04,no,no,
artigo-usando-agrupamento,Artigo usando agrupamento.pdf,bloco-06,,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
aula-sobre-agrupamento-parte-1-particional,Aula sobre Agrupamento - parte 1 (particional).pdf,bloco-06,bloco-06,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
aula-sobre-agrupamento-parte-2-hierarquico,Aula sobre Agrupamento - parte 2 (hierarquico).pdf,bloco-06,bloco-07,bloco-06,,obs:Roteiro+SARC,clean,27/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
survey-on-clustering,Survey on Clustering.pdf,bloco-06,bloco-06,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
ag-feito-em-aula-pelo-luca,AG feito em aula pelo Luca.py,,bloco-13,bloco-13,,subt-STRADDLE:Card S13 + mat,eco-excluido,,no,no,
algoritmo-dijkstra,Algoritmo Dijkstra.pdf,,bloco-15,bloco-15,,subt-single:Roteiro (01/06) + Card S14,eco-excluido,01/06,no,no,
algoritmo-genetico,Algoritmo Genetico.pdf,,bloco-12,bloco-12,,subt-single:Card S12 + mat,eco-excluido,18/05,no,no,
cap-sobre-algoritmos-geneticos-lacerda-e-outros,Cap. sobre Algoritmos Geneticos (Lacerda e outros).pdf,,bloco-12,bloco-12,,subt-single:Card S12 + mat,eco-excluido,18/05,no,no,
hill-climbing-e-simulated-annealing,Hill Climbing e Simulated Annealing.pdf,,bloco-15,bloco-15,,subt-single:Roteiro (01/06) + Card S14,eco-excluido,01/06,no,no,
implementacaominimax,ImplementacaoMinimax.zip,,bloco-15,bloco-15,,subt-STRADDLE:Card S15 + mat,eco-excluido,,no,no,
introducao-a-busca-informada,Introducao a busca informada.pdf,,bloco-12,bloco-12,,subt-single:Card S12 + mat,eco-excluido,18/05,no,no,
minimax,Minimax.pdf,,bloco-15,bloco-15,minimax,subt-STRADDLE:Card S15 + mat,eco-excluido,,no,no,
minimax-teoria,minimax-teoria.pdf,,bloco-15,bloco-15,minimax,?,sem-subtopico,,no,no,
outros-operadores,Outros operadores.pdf,,bloco-12,bloco-12,,subt-single:Card S12 + mat,eco-excluido,18/05,no,no,
programa-exemplo-ag,programa-exemplo AG.zip,,bloco-12,bloco-12,,?,sem-subtopico,,no,no,
programas-exemplo-hc-sa-versao-para-nrainhas-e-distribuicao-de-cargas,"Programas-exemplo HC, SA (versão para NRainhas e Distribuição de Cargas).zip",,bloco-15,bloco-15,,subt-single:Roteiro (01/06) + Card S14,eco-excluido,01/06,no,no,
lista-de-exercicios-i,Lista de Exercicios I.pdf,,bloco-15,bloco-15,lista-de-exercicios-i,subt-STRADDLE:Card S15 + mat,eco-excluido,,no,no,
lista1,lista1.pdf,bloco-15,bloco-15,bloco-15,lista-de-exercicios-i,obs:Roteiro+SARC,clean,01/06,yes,no,1de905a2-724e-4841-8d7b-a62bf7a42212
,P1_2024_02_IA.pdf,,,,,obs:Roteiro+SARC,clean,13/05,no,no,
prova-1-2024-02,Prova 1 2024 02.pdf,bloco-08,bloco-08,bloco-08,prova-1-2024-02,obs:Roteiro+SARC,clean,04/05,yes,no,5256ec08-7e5d-4c55-8a3c-e1a7f981ac71
,P2_IA_2024.pdf ,,,,,obs:SARC,clean,01/07,no,no,
,Agentes.pdf,,,,,obs:SARC,clean,22/06,no,no,
,P2_IA_2024_02_A_turma30.pdf ,,,,,obs:SARC,clean,01/07,no,no,
analise-exploratoria-de-dados-exemplo-1,Análise Exploratória de Dados - Exemplo 1.ipynb,bloco-04,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,16/03,yes,no,af22fe17-ee73-407f-9af5-d730739d71e0
exemplo-2-k-nn-com-iriscsv-mais-completo,Exemplo 2 k-NN (com IRIS.csv) - mais completo.ipynb,bloco-05,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,18/03,yes,yes,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exemplo-com-k-nn,Exemplo com k-NN.ipynb,bloco-05,bloco-05,bloco-04,,obs:Roteiro+SARC,clean,18/03,yes,yes,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exercicio-2-solucao-com-rede-perceptron-atualizado,Exercicio 2 - Solução com rede Perceptron (atualizado).ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
k-nn-para-classificacao-exemplo-cardio,K-NN para Classificação Exemplo Cardio.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
k-nn-para-regressao-exemplo-imc,K-NN para Regressão exemplo IMC.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-classificacao-planta-iris,Rede Perceptron - Classificacao - Planta Iris.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-classificacao-de-cliente,Rede Perceptron - Classificacao de Cliente.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-exemplo-atualizado,Rede Perceptron - Exemplo Atualizado.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-or-em-python,Rede Perceptron - OR em Python.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-reconhecendo-letras,Rede Perceptron - Reconhecendo Letras.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
mlp-xoripynb,MLP - XOR.ipynb.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,MLP Classificação - Inadimplência (normalização e GridSearchCV).ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
mlp-classificacao-iris-atualizado,MLP Classificação - IRIS atualizado.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
mlp-regressao-cardio,MLP Regressão - Cardio.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
xor-backpropagation-em-python,XOR - Backpropagation em python.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exemplo-1-arvores-de-decisao-classificacao-planta-iris,Exemplo 1 - Árvores de Decisão Classificação - Planta Iris.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC (13/04: SARC),clean,13/04,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exemplo-2-arvores-de-decisao-regressao-diabetes,Exemplo 2 - Arvores de Decisão - Regressão - Diabetes.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC (13/04: SARC),clean,13/04,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exemplo-complementar-classificacao-com-arvores-de-decisao,Exemplo Complementar - Classificação com Árvores de Decisão.ipynb,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC (13/04: SARC),clean,13/04,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
agrupamento-hierarquico-exemplo-1,agrupamento hierarquico - exemplo 1.ipynb,bloco-06,bloco-07,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,agrupamento hierarquico - exemplo 2 (use o dataset da planta IRIS).ipynb,bloco-06,bloco-07,bloco-06,,subt-single:SARC,clean,20/04,yes,no,17ea65f3-5f84-47c7-9357-e090ee1f80ed
