entry_id,title,category,card,posting_date,text_chars,evidencia,pred_unit,unit_do_bloco_temporal,gold_units,gold_topics,scorable,notas,status,gold_fonte
exerciciosfundamentosmatematicos,ExerciciosFundamentosMatematicos,listas,Exercícios 2D,,1758,ExerciciosFundamentosMatematicos · Conteúdo Extraído · Exercícios sobre Fundamentos Matemáticos para Computação Gráfica · 1) Animação com Vetores · 2) Determinação de Concavidade em Polígono · 3) Incl,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,secao 'Exercicios 2D' cruza unidades; poligonos e vetores · unit_conf=0.95 revisar=mudou,rotulado,proposto-claude 2026-09-11: conteudo
fundamentosmatematicos,FundamentosMatematicos,material-de-aula,3 - Fundamentos Matemáticos para Computação Gráfica,,26445,"Fundamentos Matemáticos para Computação Gráfica · PONTOS, VETORES, RETAS, ETC... · Pontos · Vetores · Vetores · Vetores · Vetores · • Operações",unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.95 revisar=mudou,rotulado,proposto-claude 2026-09-11: secao-moodle
matematica,Matematica,codigo-professor,3 - Fundamentos Matemáticos para Computação Gráfica,,1275,Matematica,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,conflito: texto queria unidade-06-processo-de-visualizacao-3d · unit_conf=0.73 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-fundamentos-matematicos-para-computacao-grafica-d1d4a9,Página com Vídeos sobre Fundamentos Matemáticos para Computação Gráfica,references,3 - Fundamentos Matemáticos para Computação Gráfica,,1524,Página com Vídeos sobre Fundamentos Matemáticos para Computação Gráfica · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduaç,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.95 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
iluminacao,Iluminacao,outros,16 - Síntese de Imagens Realísticas,,11034,Iluminacao · Conteúdo Extraído · SÍNTESE DE IMAGENS REALÍSTICAS,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,,yes,unit_conf=0.50 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
listadeexercicios2026-1,ListaDeExercícios2026-1,listas,Exercícios para P2,,13050,Computação Gráfica · EXERCÍCIOS · ILUMINAÇÃO · Sugestão:** utilize uma vista superior! · ILUMINAÇÃO · A partir disto · RESPOSTA · PROJEÇÃO + MODELAGEM,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,unidade-06-processo-de-visualizacao-3d|unidade-07-representacao-e-modelagem-de-objetos|unidade-08-sintese-de-imagens-realisticas,,yes,lista para P2: iluminacao + projecao + modelagem (nota aprovada 06/09) · subunit_gt scorable=no: lista para P2: iluminacao + projecao + modelagem (u06/u07/u08) · unit_conf=0.19 revisar=ok,rotulado,proposto-claude 2026-09-11: ruling-user 2026-08-19 (SO): lista cobre as unidades da prova
pagina-com-videos-sobre-sintese-de-imagens-realisticas-a6d9ea,Página com Vídeos sobre Síntese de Imagens Realísticas,references,16 - Síntese de Imagens Realísticas,,1478,"Página com Vídeos sobre Síntese de Imagens Realísticas · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Dou",unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,,yes,unit_conf=0.95 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
programabasico3d,ProgramaBasico3D,codigo-professor,16 - Síntese de Imagens Realísticas,,12885,OpenGL-CPP\ProgramaBasico3D.cpp,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,unidade-08-sintese-de-imagens-realisticas,,yes,conflito: texto queria unidade-06-processo-de-visualizacao-3d · unit_conf=0.63 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
animacao-v2,Animacao-v2,codigo-professor,6 - Processo de Visualização 2D,,11122,Animacao\Animacao-V2.cpp,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); titulo nao resolve u04 x u05 · unit_conf=0.30 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicios-teoricos-sobre-processo-de-visualizacao-2d,exercicios-teoricos-sobre-processo-de-visualizacao-2d,listas,6 - Processo de Visualização 2D,,918,exercicios-teoricos-sobre-processo-de-visualizacao-2d · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); nota aprovada 06/09: window/viewport = plano 5.2 (u05 candidato tematico) · unit_conf=0.89 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicios-teoricos-sobre-processo-de-visualizacao-2d-html,exercicios-teoricos-sobre-processo-de-visualizacao-2d,listas,Exercícios 2D,,918,exercicios-teoricos-sobre-processo-de-visualizacao-2d · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,secao 'Exercicios 2D' cruza unidades; u04 pelo oraculo; nota aprovada 06/09: window/viewport = plano 5.2 (u05 candidato tematico) · unit_conf=0.89 revisar=ok,rotulado,proposto-claude 2026-09-11: conteudo
instanciamento,Instanciamento,outros,6 - Processo de Visualização 2D,,14613,Computação Gráfica · Processo de Visualização Bidimensional INSTANCIAMENTO · Prof. Márcio Sarroglia Pinho · 1 INTRODUÇÃO · 2 SISTEMA DE REFERÊNCIA DO OBJETO · 3 TRANSFORMAÇÕES GEOMÉTRICAS · 3.1 Transf,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,"u04 pelo oraculo (ruling aprovado 06/09); conteudo: '3 TRANSFORMACOES GEOMETRICAS, translacao, escala' = plano 5.1 (u05 candidato tematico) · unit_conf=0.23 revisar=mudou",rotulado,proposto-claude 2026-09-11: secao-moodle
mapeamento,Mapeamento,outros,6 - Processo de Visualização 2D,,5463,"Computação Gráfica · Processo de Visualização Bidimensional · MAPEAMENTO · 1 INTRODUÇÃO · 1.1 JANELA DE SELEÇÃO e JANELA DE EXIBIÇÃO · A partir disto, as funções de mapeamento ficam da seguinte forma:",unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); conteudo: janela de selecao x exibicao = plano 5.2 window/viewport (u05 candidato tematico) · unit_conf=0.64 revisar=mudou,rotulado,proposto-claude 2026-09-11: secao-moodle
maptextures,MapTextures,outros,17 - Mapeamento de Texturas,,4249,MapTextures · Conteúdo Extraído · Mapeamento de Texturas · Carga de uma textura · Carrega texturas · Aplicação de uma Textura · Ativação de uma textura,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-08-sintese-de-imagens-realisticas,,yes,"plano de ensino 8.4 'Mapeamento de Textura' = u08 (user 11/09: 'Texturas e unidade 8'); produto poe em u04 por colisao de token no bloco-06 (nota aprovada 06/09: BLOCO ERRADO) · subunit_gt scorable=no: BLOCO ERRADO: bloco-06 por colisao do token 'mapeamento' com a sessao 'processo de visualizacao 2d mapeamento' (flagado; voter decide); unidade herdada u04; verdade u08/mapeamento-de-textura, secao 17 sem sessao no SARC · unit_conf=0.24 revisar=ok",rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-instanciamento,pagina-com-videos-sobre-instanciamento,outros,6 - Processo de Visualização 2D,,9822,pagina-com-videos-sobre-instanciamento · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); titulo nao resolve u04 x u05 · unit_conf=0.47 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-mapeamento-9f410e,Página com Vídeos sobre Mapeamento,references,6 - Processo de Visualização 2D,,191,"Página com Vídeos sobre Mapeamento · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado e Professores",unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); videos de mapeamento = plano 5.2 (u05 candidato tematico) · unit_conf=0.00 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-mapeamento-de-texturas-07bbe3,Página com Vídeos sobre Mapeamento de Texturas,references,17 - Mapeamento de Texturas,,512,"Página com Vídeos sobre Mapeamento de Texturas · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado e",unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-08-sintese-de-imagens-realisticas,,yes,plano de ensino 8.4 'Mapeamento de Textura' = u08 (user 11/09: 'Texturas e unidade 8'); produto poe em u04 por colisao de token no bloco-06 (nota aprovada 06/09: BLOCO ERRADO) · conflito: texto queria unidade-08-sintese-de-imagens-realisticas · subunit_gt scorable=no: BLOCO ERRADO (idem maptextures): verdade u08/mapeamento-de-textura · unit_conf=0.97 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-recorte-e257d3,Página com Vídeos sobre RECORTE,references,6 - Processo de Visualização 2D,,275,"Página com Vídeos sobre RECORTE · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado e Professores",unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09) · unit_conf=1.00 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
recorte,Recorte,outros,6 - Processo de Visualização 2D,,8096,"Computação Gráfica · Processo de Visualização Bidimensional · RECORTE · 1 RECORTE · 1.1** RECORTE DE RETAS · A Janela de Seleção : **(min.x, min.y) - (max.x max.y) · 1.3** ALGORITMO DE COHEN-SUTHERLAN",unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09) · unit_conf=0.58 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
resolucao-de-prova-de-computacao-grafica-2d,resolucao-de-prova-de-computacao-grafica-2d,provas,Exercícios 2D,,2918,resolucao-de-prova-de-computacao-grafica-2d · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,prova 2D resolvida: so transformacoes em OpenGL = u04 pelo oraculo (u05 candidato tematico; astra 11/09: nao usar u04|u05 para um conteudo so; u02 nao aparece nas questoes) · subunit_gt scorable=no: prova resolvida: cobre varias unidades · unit_conf=0.47 revisar=ok,rotulado,proposto-claude 2026-09-11: ruling-user 2026-08-19 (SO): prova cobre as unidades da prova
resolucao-de-prova-de-computacao-grafica-2d-html,resolucao-de-prova-de-computacao-grafica-2d,provas,Provas Resolvidas,,2968,resolucao-de-prova-de-computacao-grafica-2d · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,duplicata html da prova 2D · subunit_gt scorable=no: prova resolvida (duplicata html) · unit_conf=0.47 revisar=ok,rotulado,proposto-claude 2026-09-11: ruling-user 2026-08-19 (SO): prova cobre as unidades da prova
transformacoesgeometricas,TransformacoesGeometricas,codigo-professor,6 - Processo de Visualização 2D,,11042,TransformacoesGeometricas\TransformacoesGeometricas.cpp,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); conteudo: transformacoes = plano 5.1-5.6 (u05 candidato tematico) · conflito: texto queria unidade-01-introducao-ao-processamento-grafico · unit_conf=0.81 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
transformacoesgl,TransformacoesGL,outros,6 - Processo de Visualização 2D,,3616,TransformacoesGL · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); conteudo: transformacoes em OpenGL = plano 5.1-5.6 (u05 candidato tematico) · conflito: texto queria unidade-02-fundamentos-matematicos · unit_conf=0.87 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
video-sobre-mapeamento-em-opengl-1dad3c,Vídeo sobre MAPEAMENTO em OpenGL,references,6 - Processo de Visualização 2D,,397,Vídeo sobre MAPEAMENTO em OpenGL · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); video de mapeamento = plano 5.2 (u05 candidato tematico) · unit_conf=0.18 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
video-sobre-o-algoritmo-de-recorte-por-subdivisao-binaria-db7e2e,Vídeo sobre o Algoritmo de Recorte por Subdivisão Binária,references,6 - Processo de Visualização 2D,,422,Vídeo sobre o Algoritmo de Recorte por Subdivisão Binária · Conteúdo Extraído,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09) · unit_conf=0.95 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
vis2d,Vis2d,outros,6 - Processo de Visualização 2D,,5932,Computação Gráfica · Processo de Visualização Bidimensional · 1 INTRODUÇÃO · 1.1 INSTANCIAMENTO · 1.2 RECORTE · 1.3 MAPEAMENTO · 2 SISTEMAS DE REFERÊNCIA · Imagens Curadas,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,,yes,u04 pelo oraculo (ruling aprovado 06/09); titulo nao resolve u04 x u05 · unit_conf=0.47 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicios,exercicios,listas,2 - Biblioteca OpenGL,,456,exercicios · Conteúdo Extraído · Exercícios de Introdução à OpenGL,unidade-02-fundamentos-matematicos,,unidade-01-introducao-ao-processamento-grafico,aplicacoes,yes,"plano de ensino nao lista OpenGL (so bibliografia); cronograma aula 2 (06/08); ruling do user 11/09: u01, possivelmente 1.4 Aplicacoes · conflito: texto queria unidade-04-processo-de-visualizacao-2d · unit_conf=0.85 revisar=duvida",rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: OpenGL na u01 (cronograma na ordem do plano)
opengl-cpp,OpenGL-CPP,codigo-professor,2 - Biblioteca OpenGL,,0,OpenGL-CPP,unidade-02-fundamentos-matematicos,,unidade-01-introducao-ao-processamento-grafico,aplicacoes,yes,"plano de ensino nao lista OpenGL (so bibliografia); cronograma aula 2 (06/08); ruling do user 11/09: u01, possivelmente 1.4 Aplicacoes · unit_conf=0.04 revisar=mudou",rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: OpenGL na u01 (cronograma na ordem do plano)
opengl-py,OpenGL-PY,codigo-professor,2 - Biblioteca OpenGL,,0,OpenGL-PY,unidade-02-fundamentos-matematicos,,unidade-01-introducao-ao-processamento-grafico,aplicacoes,yes,"plano de ensino nao lista OpenGL (so bibliografia); cronograma aula 2 (06/08); ruling do user 11/09: u01, possivelmente 1.4 Aplicacoes · unit_conf=0.42 revisar=mudou",rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: OpenGL na u01 (cronograma na ordem do plano)
openglbasico,OpenGLBasico,outros,2 - Biblioteca OpenGL,,19931,Introdução à OpenGL · Prof. Márcio Sarroglia Pinho · Resumo · Condições Preliminares · Instalação do Projeto OpenGL · Modelo de execução orientado a eventos · Programa Principal · _**Figura 1 – Progra,unidade-02-fundamentos-matematicos,,unidade-01-introducao-ao-processamento-grafico,aplicacoes,yes,"plano de ensino nao lista OpenGL (so bibliografia); cronograma aula 2 (06/08); ruling do user 11/09: u01, possivelmente 1.4 Aplicacoes · unit_conf=0.37 revisar=mudou",rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: OpenGL na u01 (cronograma na ordem do plano)
texturas-v3,Texturas_v3,codigo-professor,2 - Biblioteca OpenGL,,0,Texturas_v3,unidade-02-fundamentos-matematicos,,unidade-08-sintese-de-imagens-realisticas,,yes,"texturas + iluminacao = u08 (plano de ensino 8.4; nota aprovada 06/09: UNIDADE ERRADA); a secao 2 OpenGL nao vale aqui · subunit_gt scorable=no: UNIDADE ERRADA: computada u01 (card 2 OpenGL, sem bloco); conteudo texturas+iluminacao = u08; GLOSSARY.md do CG para em 7.1.2 -> u08 sem termo, sem sinonimo manual possivel (divida de dados) · unit_conf=0.30 revisar=mudou",rotulado,proposto-claude 2026-09-11: conteudo
video-com-instrucoes-para-usar-opengl-na-vdi-da-pucrs-3a8758,Vídeo com instruções para usar OpenGL na VDI da PUCRS,references,2 - Biblioteca OpenGL,,419,Vídeo com instruções para usar OpenGL na VDI da PUCRS · Conteúdo Extraído,unidade-02-fundamentos-matematicos,,unidade-01-introducao-ao-processamento-grafico,aplicacoes,yes,"plano de ensino nao lista OpenGL (so bibliografia); cronograma aula 2 (06/08); ruling do user 11/09: u01, possivelmente 1.4 Aplicacoes · unit_conf=0.00 revisar=ok",rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: OpenGL na u01 (cronograma na ordem do plano)
elemoculto,ElemOculto,material-de-aula,15 - Remoção de Elementos Ocultos,,32312,Remoção de Elementos Ocultos · Introdução · n Eliminação de superfícies escondidas · Introdução · Introdução · Introdução · Introdução · Introdução,unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,,yes,unit_conf=0.71 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exemplozbuffer,ExemploZbuffer,outros,15 - Remoção de Elementos Ocultos,,2942,ExemploZbuffer,unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,,yes,unit_conf=0.85 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-remocao-de-elementos-ocultos-20c34a,Página com Vídeos sobre Remoção de Elementos Ocultos,references,15 - Remoção de Elementos Ocultos,,865,"Página com Vídeos sobre Remoção de Elementos Ocultos · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Douto",unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,,yes,unit_conf=1.00 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
domina,Domina,outros,5 - Geometria Computacional,,2013,Domina · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.95 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicios-de-geometria-computacional,exercicios-de-geometria-computacional,listas,Exercícios 2D,,722,exercicios-de-geometria-computacional · Conteúdo Extraído · A lista completa está [neste link](https://www.inf.pucrs.br/pinho/CG/Exercicios/Lista2D/ExerciciosGeometriaComputacional.html).,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,secao 'Exercicios 2D' cruza unidades; matriz de dominancia · unit_conf=0.21 revisar=mudou,rotulado,proposto-claude 2026-09-11: conteudo
geomcomp,GeomComp,outros,5 - Geometria Computacional,,754,GeomComp · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.99 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
pagina-com-videos-sobre-geometria-computacional-ebca9a,Página com Videos Sobre Geometria Computacional,references,5 - Geometria Computacional,,534,"Página com Videos Sobre Geometria Computacional · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado ",unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.95 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
planesweep,PlaneSweep,outros,5 - Geometria Computacional,,843,PlaneSweep · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.16 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
slab,Slab,outros,5 - Geometria Computacional,,2819,Slab · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.66 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
colisao,Colisao,material-de-aula,4 - Detecção de Colisão,,20828,Computação Gráfica **Detecção de Colisão · Detecção de Colisão · Testes entre objetos · Envelopes / bounding boxes · AABB – Axis Aligned Bounding Boxes (Envelopes) · Teste de Colisão entre AABB · Test,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.93 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
videos-sobre-algoritmos-de-detecao-de-colisao-bd7d84,Vídeos sobre Algoritmos de Deteção de Colisão,references,4 - Detecção de Colisão,,2281,"Vídeos sobre Algoritmos de Deteção de Colisão · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado e ",unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.99 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
bezier-animacao,Bezier-Animacao,codigo-professor,7 - Curvas Paramétricas,,0,Bezier-Animacao,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.28 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
