#;material;tipo;tópico;bloco_correto;confiança;obs
58;K-NN para Classificação Exemplo Cardio.ipynb;codigo;k-NN;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
59;K-NN para Regressão exemplo IMC.ipynb;codigo;k-NN;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
60;Rede Perceptron - Classificacao - Planta Iris.ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
61;Rede Perceptron - Classificacao de Cliente.ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
62;Rede Perceptron - Exemplo Atualizado.ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
63;Rede Perceptron - OR em Python.ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
64;Rede Perceptron - Reconhecendo Letras.ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
65;MLP - XOR.ipynb.ipynb;codigo;MLP;05 — Perceptron / MLP;alta;
66;MLP Classificação - Inadimplência (normalização e GridSearchCV).ipynb;codigo;MLP;05 — Perceptron / MLP;alta;
67;MLP Classificação - IRIS atualizado.ipynb;codigo;MLP;05 — Perceptron / MLP;alta;
68;MLP Regressão - Cardio.ipynb;codigo;MLP;05 — Perceptron / MLP;alta;
69;XOR - Backpropagation em python.ipynb;codigo;MLP;05 — Perceptron / MLP;alta;
70;Exemplo 1 - Árvores de Decisão Classificação - Planta Iris.ipynb;codigo;Arvores de Decisao;07 — Regressão / Árvores de Decisão;alta;
71;Exemplo 2 - Arvores de Decisão - Regressão - Diabetes.ipynb;codigo;Arvores de Decisao;07 — Regressão / Árvores de Decisão;alta;
72;Exemplo Complementar - Classificação com Árvores de Decisão.ipynb;codigo;Arvores de Decisao;07 — Regressão / Árvores de Decisão;alta;
73;agrupamento hierarquico - exemplo 1.ipynb;codigo;Agrupamento Hierarquico;08 — k-Means;alta;
74;agrupamento hierarquico - exemplo 2 (use o dataset da planta IRIS).ipynb;codigo;Agrupamento Hierarquico;08 — k-Means;alta;
