curso,entry_id,gold,cru,produto,produto_acerta,na_fila_cru,conflito,bloco_cru,metodo_bloco,categoria
SO,0704-exemplo-threads-em-java,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-04-deadlock,0,1,1,1945c228-4ca2-4a76-8d63-47c804459ecd,janela-1,codigo-professor
SO,exemplo-threads-em-c-exemplo1,unidade-03-programacao-concorrente,unidade-02-gerencia-do-processador,unidade-02-gerencia-do-processador,0,1,1,e4f7e22a-e091-46f8-b70e-a65f387dbf84,janela-1,codigo-professor
SO,exemplo-threads-em-c-exemplo2,unidade-03-programacao-concorrente,unidade-02-gerencia-do-processador,unidade-02-gerencia-do-processador,0,1,1,e4f7e22a-e091-46f8-b70e-a65f387dbf84,janela-1,codigo-professor
SO,exemplo-threads-em-c-exemplo3,unidade-03-programacao-concorrente,unidade-02-gerencia-do-processador,unidade-02-gerencia-do-processador,0,0,0,e4f7e22a-e091-46f8-b70e-a65f387dbf84,janela-1,codigo-professor
ES2,azure,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,0,0,0,a803a9f7-5aa5-4629-8b93-4531b56119bc,janela-1,material-de-aula
ES2,microsservicos4,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,0,1,1,a0d38bad-e123-4b82-b8d0-03f6724b9617,janela-1,material-de-aula
ES2,microsservicos5,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,0,1,1,a803a9f7-5aa5-4629-8b93-4531b56119bc,janela-1,material-de-aula
ES2,microsservicos7,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,0,1,1,f5d645cb-1de3-4538-a03c-a3fce86b4c41,titulo-topico,material-de-aula
CG,basico3d-cpp,unidade-07-representacao-e-modelagem-de-objetos,unidade-02-fundamentos-matematicos,unidade-07-representacao-e-modelagem-de-objetos,1,1,0,480eecdb-56b8-4ac5-95a5-abef623a0fd4,disamb,codigo-professor
CG,basico3d-py-zip,unidade-07-representacao-e-modelagem-de-objetos,unidade-02-fundamentos-matematicos,unidade-07-representacao-e-modelagem-de-objetos,1,1,0,480eecdb-56b8-4ac5-95a5-abef623a0fd4,disamb,codigo-professor
CG,exemplodemanipulacaodeimagens,unidade-03-processamento-de-imagens-e-visao-computacional,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,0,1,0,0c911e45-81bf-4cfc-9342-da8d0eb7951f,disamb,codigo-professor
CG,maptextures,unidade-08-sintese-de-imagens-realisticas,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,0,1,1,14a90fef-a45d-4fa9-a612-4e555445ae6f,janela-1,outros
CG,pagina-com-videos-sobre-mapeamento-de-texturas-07bbe3,unidade-08-sintese-de-imagens-realisticas,unidade-04-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,0,1,1,14a90fef-a45d-4fa9-a612-4e555445ae6f,janela-1,references
CG,resolucao-de-prova-de-computacao-grafica-2d,unidade-04-processo-de-visualizacao-2d,unidade-08-sintese-de-imagens-realisticas,unidade-04-processo-de-visualizacao-2d,1,1,0,,,provas
CG,resolucao-de-prova-de-computacao-grafica-2d-html,unidade-04-processo-de-visualizacao-2d,unidade-08-sintese-de-imagens-realisticas,unidade-04-processo-de-visualizacao-2d,1,1,0,,,provas
CG,texturas-v3,unidade-08-sintese-de-imagens-realisticas,unidade-01-introducao-ao-processamento-grafico,unidade-01-introducao-ao-processamento-grafico,0,1,0,21eb1cc4-d276-4bc2-8072-acd7e6606256,janela-1,codigo-professor
CG,exercicios-sobre-curvas-html,unidade-07-representacao-e-modelagem-de-objetos,unidade-02-fundamentos-matematicos,unidade-07-representacao-e-modelagem-de-objetos,1,1,1,,,listas
CG,atividade,unidade-06-processo-de-visualizacao-3d,unidade-04-processo-de-visualizacao-2d,unidade-06-processo-de-visualizacao-3d,1,1,0,5481ee2c-d9a5-45bb-b325-ac5b378462ab,disamb-curto,outros
CG,video-sobre-prechimento-de-areas-duracao-330-defae7,unidade-03-processamento-de-imagens-e-visao-computacional,unidade-01-introducao-ao-processamento-grafico,unidade-03-processamento-de-imagens-e-visao-computacional,1,1,0,7eda873a-69bf-4af7-90c9-4507782af5bb,disamb,references
CG,resolucao-de-prova-de-computacao-grafica-3d,unidade-06-processo-de-visualizacao-3d | unidade-07-representacao-e-modelagem-de-objetos | unidade-08-sintese-de-imagens-realisticas,unidade-04-processo-de-visualizacao-2d,unidade-08-sintese-de-imagens-realisticas,1,1,0,,,provas
