curso,entry_id,unidade,gold_primario,gold_extras,gold_fonte,pred_produto,aceito_produto,primario_produto,pred_sem_llm,aceito_sem_llm,primario_sem_llm,pred_so_codigo,aceito_so_codigo,primario_so_codigo,tipo_erro_cru,cru_conf_1a,cru_slug_1a,cru_reasons_1a,pred_sem_llm_escopo_antigo,herdado_no_escopo_antigo
MF,exercicioscorrecaoinducaomatematica,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.982,especificacao-de-funcoes-recursivas,winner_score=8.91,especificacao-de-funcoes-recursivas,0
MF,exerciciosespecificacao-respostas,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas,,conteudo,linguagens-de-especificacao-e-logicas,1,1,especificacao-de-funcoes-recursivas,0,0,linguagens-de-especificacao-e-logicas,1,1,trocado,0.624,especificacao-de-funcoes-recursivas,winner_score=1.12,especificacao-de-funcoes-recursivas,0
MF,exerciciosespecificacao,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas,,conteudo,linguagens-de-especificacao-e-logicas,1,1,,0,0,linguagens-de-especificacao-e-logicas,1,1,vazio,0.000,,empate-exato 2x score=0.99,,0
MF,exerciciosformalizacaoalgoritmosrecursao2,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.871,especificacao-de-funcoes-recursivas,winner_score=8.73,especificacao-de-funcoes-recursivas,0
MF,exerciciosisabelle2,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,provadores-de-teoremas,1,1,especificacao-de-funcoes-recursivas,1,0,especificacao-de-funcoes-recursivas,1,0,ok,0.366,especificacao-de-funcoes-recursivas,winner_score=1.77,especificacao-de-funcoes-recursivas,0
MF,logicaproposicional-semantica,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,conteudo,linguagens-de-especificacao-e-logicas,1,1,,0,0,especificacao-de-conjuntos-indutivos,0,0,vazio,0.000,,empate-exato 3x score=0.12,,0
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.985,especificacao-de-funcoes-recursivas,winner_score=1.12,especificacao-de-funcoes-recursivas,0
MF,formalizacaoalgoritmos-recursao,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.904,especificacao-de-funcoes-recursivas,winner_score=9.73,especificacao-de-funcoes-recursivas,0
MF,formalizacaoalgoritmos-recursao3,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.059,especificacao-de-funcoes-recursivas,winner_score=9.19 | ambiguous,especificacao-de-funcoes-recursivas,0
MF,exerciciosisabelle,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,provadores-de-teoremas,1,1,especificacao-de-funcoes-recursivas,1,0,especificacao-de-funcoes-recursivas,1,0,ok,0.281,especificacao-de-funcoes-recursivas,winner_score=1.38,especificacao-de-funcoes-recursivas,0
MF,exerciciosformalizacaoalgoritmosrecursao,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.888,especificacao-de-funcoes-recursivas,winner_score=8.91,especificacao-de-funcoes-recursivas,0
MF,arvores,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,provadores-de-teoremas,1,1,abordagens-para-verificacao-formal,0,0,,0,0,trocado,0.862,abordagens-para-verificacao-formal,winner_score=0.91,abordagens-para-verificacao-formal,0
MF,exemplos,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas;especificacao-de-conjuntos-indutivos,conteudo,exemplos-de-aplicacoes,0,0,exemplos-de-aplicacoes,0,0,exemplos-de-aplicacoes,0,0,trocado,0.989,exemplos-de-aplicacoes,winner_score=11.09,exemplos-de-aplicacoes,0
MF,intro,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-conjuntos-indutivos;especificacao-de-funcoes-recursivas,conteudo,especificacao-de-conjuntos-indutivos,1,0,abordagens-para-verificacao-formal,0,0,especificacao-de-funcoes-recursivas,1,0,trocado,0.000,,empate-exato 2x score=0.94,abordagens-para-verificacao-formal,0
MF,listas,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,provadores-de-teoremas,1,1,abordagens-para-verificacao-formal,0,0,,0,0,trocado,0.862,abordagens-para-verificacao-formal,winner_score=0.91,abordagens-para-verificacao-formal,0
MF,provas,unidade-01-metodos-formais,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,provadores-de-teoremas,1,1,abordagens-para-verificacao-formal,0,0,especificacao-de-funcoes-recursivas,1,0,trocado,0.862,abordagens-para-verificacao-formal,winner_score=0.91,abordagens-para-verificacao-formal,0
MF,correcaoterminacao,unidade-02-verificacao-de-programas,correcao-parcial-e-total,invariante-e-variante-de-laco,conteudo,correcao-parcial-e-total,1,1,correcao-parcial-e-total,1,1,correcao-parcial-e-total,1,1,ok,0.647,correcao-parcial-e-total,winner_score=12.64,correcao-parcial-e-total,0
MF,exercicioscorrecaoterminacao,unidade-02-verificacao-de-programas,correcao-parcial-e-total,invariante-e-variante-de-laco;softwares-de-suporte-a-verificacao-formal-de-programas,conteudo,correcao-parcial-e-total,1,1,correcao-parcial-e-total,1,1,invariante-e-variante-de-laco,1,0,ok,0.946,correcao-parcial-e-total,winner_score=18.29,correcao-parcial-e-total,0
MF,exerciciosformalizacaoalgoritmosinvariantes,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco,,conteudo,invariante-e-variante-de-laco,1,1,invariante-e-variante-de-laco,1,1,pre-e-pos-condicoes,0,0,ok,0.511,invariante-e-variante-de-laco,winner_score=8.73,invariante-e-variante-de-laco,0
MF,formalizacaoalgoritmos-invarianteslaco,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco,,conteudo,invariante-e-variante-de-laco,1,1,invariante-e-variante-de-laco,1,1,invariante-e-variante-de-laco,1,1,ok,0.601,correcao-parcial-e-total,winner_score=3.49,invariante-e-variante-de-laco,0
MF,logicadehoare,unidade-02-verificacao-de-programas,logica-de-hoare,pre-e-pos-condicoes,conteudo,logica-de-hoare,1,1,logica-de-hoare,1,1,logica-de-hoare,1,1,ok,0.745,logica-de-hoare,winner_score=5.46,logica-de-hoare,0
MF,logicadehoare2,unidade-02-verificacao-de-programas,logica-de-hoare,invariante-e-variante-de-laco;pre-e-pos-condicoes,conteudo,logica-de-hoare,1,1,logica-de-hoare,1,1,logica-de-hoare,1,1,ok,0.815,logica-de-hoare,winner_score=5.06,logica-de-hoare,0
MF,exerciciosdafny1,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas;pre-e-pos-condicoes,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,correcao-parcial-e-total,0,0,ok,0.564,verificacao-de-programas,winner_score=8.19,verificacao-de-programas,0
MF,exerciciosdafny2,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,pre-e-pos-condicoes,0,0,ok,0.698,verificacao-de-programas,winner_score=15.17,verificacao-de-programas,0
MF,exerciciosdafny3,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.991,verificacao-de-programas,winner_score=15.35,verificacao-de-programas,0
MF,exerciciosdafny4,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,correcao-parcial-e-total,0,0,ok,0.770,verificacao-de-programas,winner_score=15.53,verificacao-de-programas,0
MF,exerciciosdafny5,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas;pre-e-pos-condicoes,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,correcao-parcial-e-total,0,0,ok,0.702,verificacao-de-programas,winner_score=15.35,verificacao-de-programas,0
MF,verificacaomodelos,unidade-03-verificacao-de-modelos,verificacao-de-modelos-model-checking,fundamentos-de-logicas-temporais;especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes;modelos-de-kripke,conteudo,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,1,0,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,1,0,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,1,0,ok,0.414,verificacao-de-modelos-model-checking,winner_score=2.58,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,0
MF,exercicioslogicatemporal,unidade-03-verificacao-de-modelos,fundamentos-de-logicas-temporais,verificacao-de-modelos-model-checking;logica-temporal-linear;logica-temporal-ramificada,conteudo,verificacao-de-modelos-model-checking,1,0,logica-temporal-linear,1,0,modelos-de-kripke,0,0,ok,0.881,logica-temporal-linear,winner_score=8.37,logica-temporal-linear,0
MF,exerciciosnusmv,unidade-03-verificacao-de-modelos,softwares-de-suporte-a-verificacao-formal-de-modelos,verificacao-de-modelos-model-checking,conteudo,softwares-de-suporte-a-verificacao-formal-de-modelos,1,1,verificacao-de-modelos-model-checking,1,0,modelos-de-kripke,0,0,ok,0.886,verificacao-de-modelos-model-checking,winner_score=8.73,verificacao-de-modelos-model-checking,0
MF,classes-parte1,unidade-02-verificacao-de-programas,pre-e-pos-condicoes,softwares-de-suporte-a-verificacao-formal-de-programas;verificacao-de-programas,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,invariante-e-variante-de-laco,0,0,ok,0.867,verificacao-de-programas,winner_score=0.94,verificacao-de-programas,0
MF,colecoes-arrays,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,label,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.982,verificacao-de-programas,winner_score=0.94,verificacao-de-programas,0
MF,colecoes-conjuntos,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,label,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.862,verificacao-de-programas,winner_score=0.12,verificacao-de-programas,0
MF,colecoes-sequences,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,label,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.982,verificacao-de-programas,winner_score=0.94,verificacao-de-programas,0
MF,exercicios-conjuntos,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas;invariante-e-variante-de-laco,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.138,verificacao-de-programas,winner_score=0.12,verificacao-de-programas,0
MF,hoare,unidade-02-verificacao-de-programas,logica-de-hoare,softwares-de-suporte-a-verificacao-formal-de-programas;verificacao-de-programas,label,logica-de-hoare,1,1,correcao-parcial-e-total,0,0,logica-de-hoare,1,1,trocado,0.964,correcao-parcial-e-total,winner_score=3.49,correcao-parcial-e-total,0
MF,introducao-zip,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,,0,0,ok,0.862,verificacao-de-programas,winner_score=0.12,verificacao-de-programas,0
MF,invariantes,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco,,label,invariante-e-variante-de-laco,1,1,invariante-e-variante-de-laco,1,1,,0,0,ok,0.867,invariante-e-variante-de-laco,winner_score=0.94,invariante-e-variante-de-laco,0
MF,terminacao,unidade-02-verificacao-de-programas,correcao-parcial-e-total,invariante-e-variante-de-laco,label,correcao-parcial-e-total,1,1,,0,0,,0,0,vazio,0.000,,empate-exato 2x score=0.12,,0
MF,tiposindutivos,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,,label,verificacao-de-programas,0,0,verificacao-de-programas,0,0,,0,0,trocado,0.862,verificacao-de-programas,winner_score=0.12,verificacao-de-programas,0
MF,exemplos-zip,unidade-03-verificacao-de-modelos,softwares-de-suporte-a-verificacao-formal-de-modelos,verificacao-de-modelos-model-checking,label,softwares-de-suporte-a-verificacao-formal-de-modelos,1,1,verificacao-de-modelos-model-checking,1,0,,0,0,ok,0.138,verificacao-de-modelos-model-checking,winner_score=0.12,verificacao-de-modelos-model-checking,0
MF,exerciciosformalizacaoalgoritmosrecursao3-respostas,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.981,especificacao-de-funcoes-recursivas,winner_score=8.55,especificacao-de-funcoes-recursivas,0
MF,classes-parte2,unidade-02-verificacao-de-programas,verificacao-de-programas,invariante-e-variante-de-laco;pre-e-pos-condicoes;softwares-de-suporte-a-verificacao-formal-de-programas,conteudo,verificacao-de-programas,1,1,verificacao-de-programas,1,1,invariante-e-variante-de-laco,1,0,ok,0.867,verificacao-de-programas,winner_score=0.94,verificacao-de-programas,0
MF,exercicios-arrays,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,verificacao-de-programas;invariante-e-variante-de-laco;pre-e-pos-condicoes,conteudo,verificacao-de-programas,1,0,verificacao-de-programas,1,0,sistema-de-prova,0,0,ok,0.867,verificacao-de-programas,winner_score=0.94,verificacao-de-programas,0
MF,logicadehoare-exercicios-respostas,unidade-02-verificacao-de-programas,logica-de-hoare,,conteudo,logica-de-hoare,1,1,logica-de-hoare,1,1,logica-de-hoare,1,1,ok,0.993,logica-de-hoare,winner_score=23.76,logica-de-hoare,0
SO,definicao-e-historico,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,evolucao-historica,servicos-dos-sistemas-operacionais,conteudo,evolucao-historica,1,1,servicos-dos-sistemas-operacionais,1,0,servicos-dos-sistemas-operacionais,1,0,ok,0.942,servicos-dos-sistemas-operacionais,winner_score=15.67,servicos-dos-sistemas-operacionais,0
SO,1203-processos,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,servicos-dos-sistemas-operacionais,conteudo,servicos-dos-sistemas-operacionais,1,0,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,ok,0.989,chamadas-de-sistema,winner_score=9.74,chamadas-de-sistema,0
SO,1703-chamada-de-sistema,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,,conteudo,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,ok,1.000,chamadas-de-sistema,winner_score=8.61,chamadas-de-sistema,0
SO,exemplo-criacao-de-processos-no-unix-linux-filho,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,,card,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,,0,0,ok,1.000,chamadas-de-sistema,winner_score=0.11,chamadas-de-sistema,0
SO,exemplo-criacao-de-processos-no-unix-linux-teste01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,,card,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,,0,0,ok,1.000,chamadas-de-sistema,winner_score=0.11,chamadas-de-sistema,0
SO,exemplo-criacao-de-processos-no-unix-linux-teste02,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,,card,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,,0,0,ok,1.000,chamadas-de-sistema,winner_score=0.11,chamadas-de-sistema,0
SO,exemplo-criacao-de-processos-no-unix-linux-teste03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema,,card,chamadas-de-sistema,1,1,chamadas-de-sistema,1,1,,0,0,ok,1.000,chamadas-de-sistema,winner_score=0.11,chamadas-de-sistema,0
SO,1903-estruturas-de-controle,unidade-02-gerencia-do-processador,conceitos-basicos,,conteudo,conceitos-basicos,1,1,escalonamento,0,0,escalonamento,0,0,trocado,0.946,escalonamento,winner_score=2.00,escalonamento,0
SO,2403-escalonamento-de-processos,unidade-02-gerencia-do-processador,escalonamento,,conteudo,escalonamento,1,1,escalonamento,1,1,escalonamento,1,1,ok,0.992,escalonamento,winner_score=14.12,escalonamento,0
SO,2603-algoritmos-de-escalonamento,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento,,conteudo,algoritmos-de-escalonamento,1,1,algoritmos-de-escalonamento,1,1,algoritmos-de-escalonamento,1,1,ok,0.062,algoritmos-de-escalonamento,winner_score=15.06 | ambiguous,algoritmos-de-escalonamento,0
SO,3103-threads,unidade-02-gerencia-do-processador,conceitos-basicos,,conteudo,conceitos-basicos,1,1,escalonamento,0,0,escalonamento,0,0,trocado,0.946,escalonamento,winner_score=2.00,escalonamento,0
SO,exercicios,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento,,conteudo,algoritmos-de-escalonamento,1,1,,0,0,,0,0,vazio,0.000,,sem-sinal (winner_score=0),,0
SO,exemplo-threads-em-c-exemplo1,unidade-02-gerencia-do-processador,conceitos-basicos,,card,conceitos-basicos,1,1,escalonamento,0,0,escalonamento,0,0,trocado,0.000,,sem-sinal (winner_score=0),escalonamento,0
SO,exemplo-threads-em-c-exemplo2,unidade-02-gerencia-do-processador,conceitos-basicos,,card,conceitos-basicos,1,1,escalonamento,0,0,escalonamento,0,0,trocado,0.000,,sem-sinal (winner_score=0),escalonamento,0
SO,exemplo-threads-em-c-exemplo3,unidade-02-gerencia-do-processador,conceitos-basicos,,card,conceitos-basicos,1,1,escalonamento,0,0,escalonamento,0,0,trocado,0.000,,sem-sinal (winner_score=0),escalonamento,0
IA,caracteristicas-dos-dados,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,,conteudo,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,ok,0.917,introducao-ao-aprendizado-de-maquina,winner_score=1.30,introducao-ao-aprendizado-de-maquina,0
IA,introducao-a-ml,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,paradigmas-de-aprendizado,conteudo,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,ok,0.341,paradigmas-de-aprendizado,winner_score=2.36,introducao-ao-aprendizado-de-maquina,0
IA,analise-exploratoria-de-dados-exemplo-1,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,,conteudo,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,ok,1.000,introducao-ao-aprendizado-de-maquina,winner_score=11.92,introducao-ao-aprendizado-de-maquina,0
IA,analise-exploratoria-dos-dados-exemplo-2,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina,,conteudo,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,introducao-ao-aprendizado-de-maquina,1,1,ok,0.991,introducao-ao-aprendizado-de-maquina,winner_score=12.10,introducao-ao-aprendizado-de-maquina,0
IA,algoritmo-de-classificacao-k-nn,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,0.917,introducao-ao-aprendizado-de-maquina,winner_score=1.30,introducao-ao-aprendizado-de-maquina,0
IA,exemplo-com-k-nn,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,1.000,introducao-ao-aprendizado-de-maquina,winner_score=0.11,introducao-ao-aprendizado-de-maquina,0
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,1.000,introducao-ao-aprendizado-de-maquina,winner_score=0.11,introducao-ao-aprendizado-de-maquina,0
IA,exemplo-de-programa-com-k-nn-em-java,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,1.000,introducao-ao-aprendizado-de-maquina,winner_score=11.92,introducao-ao-aprendizado-de-maquina,0
IA,artigo-usando-k-nn-em-texto,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,0.200,introducao-ao-aprendizado-de-maquina,winner_score=1.30,introducao-ao-aprendizado-de-maquina,0
IA,k-nn-para-classificacao-exemplo-cardio,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,1.000,introducao-ao-aprendizado-de-maquina,winner_score=0.11,introducao-ao-aprendizado-de-maquina,0
IA,k-nn-para-regressao-exemplo-imc,unidade-de-aprendizagem-05-aprendizado-de-maquina,modelos-preditivos,,conteudo,modelos-preditivos,1,1,introducao-ao-aprendizado-de-maquina,0,0,introducao-ao-aprendizado-de-maquina,0,0,trocado,1.000,introducao-ao-aprendizado-de-maquina,winner_score=0.11,introducao-ao-aprendizado-de-maquina,0
