curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
MF,exerciciosformalizacaoalgoritmosrecursao,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,revisao-p1-gabarito,1,1,,,bloco-07,unidade-01-metodos-formais,
MF,arvores,1,1,0,0,bloco-05,unidade-01-metodos-formais,
MF,exemplos,0,1,0,0,bloco-05,unidade-01-metodos-formais,exemplos-de-aplicacoes
MF,intro,0,1,0,0,bloco-05,unidade-01-metodos-formais,
MF,listas,1,1,0,0,bloco-05,unidade-01-metodos-formais,
MF,provas,0,1,0,0,bloco-05,unidade-01-metodos-formais,
MF,correcaoterminacao,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,exercicioscorrecaoterminacao,1,1,1,0,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,exerciciosformalizacaoalgoritmosinvariantes,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,formalizacaoalgoritmos-invarianteslaco,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,logicadehoare,1,1,1,1,bloco-10,unidade-02-verificacao-de-programas,logica-de-hoare
MF,logicadehoare2,1,1,1,0,bloco-10,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,exerciciosdafny1,1,1,0,0,bloco-12,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,exerciciosdafny2,0,1,0,0,bloco-11,unidade-02-verificacao-de-programas,pre-e-pos-condicoes
MF,exerciciosdafny3,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,
MF,exerciciosdafny4,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,exerciciosdafny5,0,1,0,0,bloco-11,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,verificacaomodelos,1,1,1,1,bloco-16,unidade-03-verificacao-de-modelos,verificacao-de-modelos-model-checking
MF,exercicioslogicatemporal,1,1,0,0,bloco-16,unidade-03-verificacao-de-modelos,modelos-de-kripke
MF,exerciciosnusmv,0,1,0,0,bloco-18,unidade-03-verificacao-de-modelos,
MF,classes-parte1,0,1,0,0,bloco-10,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,colecoes-arrays,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,
MF,colecoes-conjuntos,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,
MF,colecoes-sequences,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,
MF,exercicios-conjuntos,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,
MF,hoare,1,1,0,0,bloco-10,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,introducao-zip,0,1,0,0,bloco-10,unidade-02-verificacao-de-programas,
MF,invariantes,1,1,0,0,bloco-11,unidade-02-verificacao-de-programas,sistema-de-prova
MF,terminacao,1,1,0,0,bloco-12,unidade-02-verificacao-de-programas,
MF,tiposindutivos,0,1,0,0,bloco-10,unidade-02-verificacao-de-programas,
MF,exemplos-zip,1,1,0,0,bloco-16,unidade-03-verificacao-de-modelos,maquinas-de-estado
MF,exerciciosformalizacaoalgoritmosrecursao3-respostas,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,plano,1,1,,,bloco-01,unidade-01-metodos-formais,
MF,t2-2026-1,0,1,,,,unidade-02-verificacao-de-programas,
MF,classes-parte2,0,1,1,0,bloco-10,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,exercicios-arrays,1,1,0,0,bloco-13,unidade-02-verificacao-de-programas,sistema-de-prova
MF,logicadehoare-exercicios-respostas,1,1,1,1,bloco-10,unidade-02-verificacao-de-programas,logica-de-hoare
