curso,entry_id,grupo,gold,code_gold,rival,code_rival,score_gold,score_rival,frase_filho_casa,frase_pai_casa,n_distintivos_filho,distintivos_filho,chars_texto,razoes
MF,logicadehoare-exercicios-respostas,C-pai,logica-de-hoare,2.1,pre-e-pos-condicoes,2.1.1,23.762,0.017,0,1,0,,3298,winner_score=23.76
ES2,servicos,C-filho,orientada-a-servicos,1.3.3,estilos-e-padroes-arquiteturais,1.3,17.606,0.108,1,0,3,arquitetura;orientada;servicos,22031,winner_score=17.61
ES2,web,C-filho,cliente-servidor,1.3.2,estilos-e-padroes-arquiteturais,1.3,10.18,0.907,1,0,2,cliente;servidor,19106,winner_score=10.18
CG,csg,C-filho,geometria-solida-construtiva-csg,7.2.3,tecnicas-de-modelagem-3d,7.2,6.22,0.122,1,0,4,construtiva;csg;geometria;solida,8644,winner_score=6.22
CG,modelagem3d,C-pai,formas-de-representacao,7.1,representacao-de-curvas-parametricas,7.1.1,1.325,0.142,0,0,0,,11071,winner_score=5.78
CG,exerciciodemodelagem,C-filho,varredura,7.2.2,tecnicas-de-modelagem-3d,7.2,0.017,0.965,0,0,0,,5397,winner_score=0.96
CG,elemoculto,C-pai,algoritmos-de-remocao-de-elementos-ocultos,6.4,eliminacao-de-faces-traseiras,6.4.1,1.483,1.512,0,0,3,eliminacao;faces;traseiras,32312,winner_score=10.18
CG,exemplozbuffer,C-filho,algoritmo-z-buffer,6.4.3,algoritmos-de-remocao-de-elementos-ocultos,6.4,0.142,0.0,0,0,1,buffer,2942,winner_score=0.14
CG,recorte,C-filho,recorte,4.2.3,algoritmos-de-rasterizacao,4.2,14.16,0.0,1,0,1,recorte,8096,winner_score=14.16
CG,vis2d,C-pai,sistema-de-coordenadas-cartesianas,4.1,2d-3d-mao-direita-e-mao-esquerda,4.1.1,0.907,0.125,0,0,1,2d,5932,winner_score=9.46
CG,bezier-animacao,C-filho,bezier-e-algoritmo-de-casteljau,7.1.1.1,representacao-de-curvas-parametricas,7.1.1,0.125,0.125,0,0,1,bezier,1978,winner_score=10.95;rotulo-decomposto
CG,bezier-cpp,C-filho,bezier-e-algoritmo-de-casteljau,7.1.1.1,representacao-de-curvas-parametricas,7.1.1,0.125,0.125,0,0,1,bezier,1856,winner_score=10.95;rotulo-decomposto
CG,bezier-py,C-filho,bezier-e-algoritmo-de-casteljau,7.1.1.1,representacao-de-curvas-parametricas,7.1.1,0.125,0.125,0,0,1,bezier,1858,winner_score=10.95;rotulo-decomposto
CG,bezier-python,C-filho,bezier-e-algoritmo-de-casteljau,7.1.1.1,representacao-de-curvas-parametricas,7.1.1,0.125,0.125,0,0,1,bezier,1889,winner_score=10.95;rotulo-decomposto
CG,curvas,C-filho,representacao-de-curvas-parametricas,7.1.1,formas-de-representacao,7.1,1.512,1.325,0,0,2,curvas;parametricas,12510,winner_score=4.84
CG,curvasparametricas,C-filho,representacao-de-curvas-parametricas,7.1.1,formas-de-representacao,7.1,2.32,1.325,1,0,2,curvas;parametricas,23687,secao-nomeia-subtopico
CG,video-sobre-o-algoritmo-de-recorte-por-subdivisao-binaria-db7e2e,C-filho,recorte,4.2.3,algoritmos-de-rasterizacao,4.2,13.26,0.0,1,0,1,recorte,422,winner_score=13.26
CG,pagina-com-videos-sobre-recorte-e257d3,C-filho,recorte,4.2.3,algoritmos-de-rasterizacao,4.2,14.16,0.0,1,0,1,recorte,275,winner_score=14.16
CG,pagina-com-videos-sobre-curvas-parametricas-63d902,E-filho,representacao-de-curvas-parametricas,7.1.1,hermite,7.1.1.2,0.936,4.84,1,0,1,hermite,1670,winner_score=4.84
CG,paginas-com-videos-sobre-modelagem-geometrica-f2614a,E-filho,tecnicas-de-modelagem-3d,7.2,geometria-solida-construtiva-csg,7.2.3,0.907,5.38,1,0,3,construtiva;geometria;solida,1391,winner_score=8.58;rotulo-decomposto
CG,pagina-com-videos-sobre-remocao-de-elementos-ocultos-20c34a,C-pai,algoritmos-de-remocao-de-elementos-ocultos,6.4,eliminacao-de-faces-traseiras,6.4.1,1.483,0.936,0,0,2,faces;traseiras,865,winner_score=12.72;rotulo-decomposto
FR,tcp-chat-c,E-pai,implementacao-de-sockets,2.2.1,paradigmas-clienteservidor-e-p2p,2.2,0.017,0.907,0,0,0,,495,winner_score=0.91
FR,tcp-example,E-pai,implementacao-de-sockets,2.2.1,paradigmas-clienteservidor-e-p2p,2.2,0.017,0.907,0,0,0,,489,winner_score=0.91
FR,udp-example-c,E-pai,implementacao-de-sockets,2.2.1,paradigmas-clienteservidor-e-p2p,2.2,0.017,0.907,0,0,0,,937,winner_score=0.91
FR,udp-example-java,E-pai,implementacao-de-sockets,2.2.1,paradigmas-clienteservidor-e-p2p,2.2,0.017,0.907,0,0,0,,1077,winner_score=0.91
