curso,entry_id,unidade,classe,tipo,confiante,gold_primario,gold_extras,pred_cru,PLANO,SARC,SECAO,TITULO,HEADINGS,CORPO,WEEKLBL,FNORIG,PLANO_p,SARC_p,SECAO_p,TITULO_p,HEADINGS_p,CORPO_p,WEEKLBL_p,FNORIG_p,SARC_nhits,SECAO_nhits,TITULO_nhits,HEADINGS_nhits,CORPO_nhits,WEEKLBL_nhits,FNORIG_nhits,score_gold,score_winner,gold_score_zero,gold_e_argmax_1a,ganho_PLANO,ganho_SARC,ganho_SECAO,ganho_TITULO,ganho_HEADINGS,ganho_CORPO,ganho_WEEKLBL,ganho_FNORIG,existe_SARC,existe_WEEKLBL,existe_FNORIG
MF,listas,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.02,0.91,0,0,0,0,1,0,0,0,0,0,1,1,1
MF,provas,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0.12,0.91,0,0,0,0,1,0,0,0,0,0,1,1,1
MF,hoare,unidade-02-verificacao-de-programas,alcancavel-em-tese,trocado,1,logica-de-hoare,softwares-de-suporte-a-verificacao-formal-de-programas;verificacao-de-programas,correcao-parcial-e-total,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,2,1,0,2,2,1,0.12,3.49,0,0,0,1,1,0,0,0,1,0,1,1,1
MF,terminacao,unidade-02-verificacao-de-programas,alcancavel-em-tese,vazio,0,correcao-parcial-e-total,invariante-e-variante-de-laco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0.12,0.12,0,1,0,0,0,0,0,0,0,0,1,1,1
MF,tiposindutivos,unidade-02-verificacao-de-programas,alcancavel-em-tese,trocado,1,softwares-de-suporte-a-verificacao-formal-de-programas,,verificacao-de-programas,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0.00,0.12,1,0,0,0,0,0,0,0,0,0,1,1,1
SO,1903-estruturas-de-controle,unidade-02-gerencia-do-processador,alcancavel-em-tese,trocado,1,conceitos-basicos,,escalonamento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.00,2.00,1,0,0,0,0,0,0,0,0,0,1,1,1
SO,3103-threads,unidade-02-gerencia-do-processador,alcancavel-em-tese,trocado,0,conceitos-basicos,,escalonamento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.00,2.00,1,0,0,0,0,0,0,0,0,0,1,1,1
SO,exercicios,unidade-02-gerencia-do-processador,alcancavel-em-tese,vazio,1,algoritmos-de-escalonamento,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0.00,0.00,1,0,0,0,0,0,0,0,1,0,1,1,1
SO,exemplo-threads-em-c-exemplo1,unidade-02-gerencia-do-processador,alcancavel-em-tese,trocado,0,conceitos-basicos,,escalonamento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,1,1
SO,exemplo-threads-em-c-exemplo2,unidade-02-gerencia-do-processador,alcancavel-em-tese,trocado,0,conceitos-basicos,,escalonamento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,1,1
SO,exemplo-threads-em-c-exemplo3,unidade-02-gerencia-do-processador,alcancavel-em-tese,trocado,1,conceitos-basicos,,escalonamento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,1,1
IA,algoritmo-de-classificacao-k-nn,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.00,1.30,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,exemplo-com-k-nn,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,exemplo-de-programa-com-k-nn-em-java,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.00,11.92,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,artigo-usando-k-nn-em-texto,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.30,0,0,0,0,0,0,0,0,0,0,1,0,1
IA,k-nn-para-classificacao-exemplo-cardio,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,k-nn-para-regressao-exemplo-imc,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,introducao-a-redes-neurais,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,1.04,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,1.17,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-classificacao-de-cliente,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-classificacao-planta-iris,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-exemplo-atualizado,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,0.91,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-or-em-python,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-reconhecendo-letras,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,mlp,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.11,1.17,0,0,0,0,0,0,0,0,0,0,1,0,1
IA,mlp-xoripynb,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,mlp-classificacao-iris-atualizado,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.91,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,mlp-regressao-cardio,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,rede-perceptron-e-equacao-de-reta,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.91,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,xor-backpropagation-em-python,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,metricas-de-avaliacao,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11,0.11,0,1,0,0,0,0,0,0,0,0,1,0,1
IA,como-analisar-resultados-acc-pr-re-e-f1,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,metricas-de-avaliacao,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.91,8.79,0,0,0,0,0,0,0,0,0,0,1,0,1
IA,arvores-de-decisao,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0.11,8.97,0,0,0,0,0,0,0,0,0,0,1,0,1
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.00,1.17,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.00,1.17,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,aula-sobre-agrupamento-parte-1-particional,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,paradigmas-de-aprendizado,introducao-ao-aprendizado-de-maquina,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,2,0,0,0.91,2.70,0,0,0,0,0,0,0,0,0,0,1,0,1
IA,agrupamento-usando-k-means-exemplo-1-ipynb,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,1.43,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,agrupamento-usando-k-means-exemplo-2-ipynb,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0.00,8.79,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,artigo-usando-agrupamento,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00,1.43,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,survey-on-clustering,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.91,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,aula-sobre-agrupamento-parte-2-hierarquico,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0.00,2.52,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,agrupamento-hierarquico-exemplo-1,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0.00,8.97,1,0,0,0,0,0,0,0,0,0,1,0,1
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,unidade-de-aprendizagem-05-aprendizado-de-maquina,alcancavel-em-tese,trocado,1,modelos-descritivos,,introducao-ao-aprendizado-de-maquina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0.00,15.77,1,0,0,0,0,0,0,0,0,0,1,0,1
ES2,revisaoarquiteturapadroes,unidade-01-arquitetura-de-software,alcancavel-em-tese,vazio,1,conceito-de-arquitetura-de-software,estilos-e-padroes-arquiteturais,,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,8,1,0,1.48,4.84,0,0,0,0,0,0,0,0,0,0,1,1,1
ES2,microsservicos,unidade-01-arquitetura-de-software,alcancavel-em-tese,trocado,1,orientada-a-microsservicos,,estilos-e-padroes-arquiteturais,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,5,1,0,0.12,2.16,0,0,0,0,0,0,0,0,0,0,1,1,1
ES2,roteiro1,unidade-01-arquitetura-de-software,alcancavel-em-tese,vazio,0,estudo-de-caso-arquitetura-orientada-a-microsservicos,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.02,1,0,0,0,0,0,0,0,0,0,1,1,1
ES2,devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,alcancavel-em-tese,trocado,1,conceito-de-devops,gerenciamento-da-configuracao,integracao-continua-ci,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,2,2,2,1,7,1,2,1.32,10.14,0,0,0,0,0,0,0,0,0,0,1,1,1
ES2,kubernetes,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,alcancavel-em-tese,vazio,0,plataformas-de-devops,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,1,1,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,1,1
ES2,roteiro2-nameserver,unidade-01-arquitetura-de-software,alcancavel-em-tese,trocado,1,estudo-de-caso-arquitetura-orientada-a-microsservicos,,cliente-servidor,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,0,0.11,1.35,0,0,0,1,0,0,0,0,0,0,1,1,1
ES2,roteiro2,unidade-01-arquitetura-de-software,alcancavel-em-tese,vazio,0,estudo-de-caso-arquitetura-orientada-a-microsservicos,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0.00,0.02,1,0,0,1,0,0,0,0,0,0,1,1,1
ES2,microsservicos6,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,alcancavel-em-tese,trocado,1,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.00,1.32,1,0,0,0,0,0,0,0,0,0,1,1,1
ES2,roteiro8-autenticacao-autorizacao,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,alcancavel-em-tese,trocado,1,estudo-de-caso-integracao-e-implantacao-de-microsservicos,,gerenciamento-da-configuracao,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.11,1,0,0,0,0,0,0,0,0,0,1,1,1
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,unidade-02-turing-computabilidade,gold-vazio,trocado,1,,,maquinas-de-turing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
TCC,aula-09-variacoes-de-maquinas-de-turing,unidade-02-turing-computabilidade,alcancavel-em-tese,trocado,0,variacoes-de-maquinas-de-turing,,maquinas-de-turing,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,2,2,3,0,0,15.28,15.28,0,1,0,0,1,1,1,1,0,0,1,0,1
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,unidade-02-turing-computabilidade,alcancavel-em-tese,trocado,1,linguagens-reconheciveis-e-decidiveis,maquinas-de-turing-universais,maquinas-de-turing,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,2,2,1,3,3,0,0,10.58,17.67,0,0,0,0,0,0,0,0,0,0,1,0,1
CG,atividade,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,vazio,0,conceito-de-camera-sintetica,projecoes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.02,1,0,0,0,0,0,0,0,0,0,1,0,1
CG,basico3d-py,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,trocado,1,conceito-de-camera-sintetica,pipeline-de-visualizacao-3d;projecoes,perspectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.11,4.84,0,0,0,0,0,0,0,0,0,0,1,0,1
CG,opengl3d,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,trocado,0,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,perspectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.91,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0
CG,opengl3dcpp-vdi,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,vazio,0,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.11,4.84,0,0,0,0,0,0,0,0,0,0,1,0,1
CG,opengl3dcpp,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,vazio,0,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.11,4.84,0,0,0,0,0,0,0,0,0,0,1,0,1
CG,vis3d,unidade-06-processo-de-visualizacao-3d,alcancavel-em-tese,vazio,0,projecoes,paralela;perspectiva;conceito-de-camera-sintetica;a-matematica-das-projecoes-planares,,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,4,0,0,9.46,9.46,0,1,0,0,0,0,0,0,0,0,1,0,0
CG,programabasico3d,unidade-08-sintese-de-imagens-realisticas,alcancavel-em-tese,trocado,1,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-iluminacao-luz-pontual-direcional-spot;projecoes,metodos-de-sombreamento-flat-gouraud-phong,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11,0.11,0,1,0,0,0,0,0,0,0,0,1,0,1
CG,exercicio-com-animacao,unidade-02-fundamentos-matematicos,alcancavel-em-tese,trocado,0,operacoes-com-vetores,entidades-geometricas,algoritmos-de-poligonos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.42,1,0,0,0,0,0,0,0,0,0,1,0,1
CG,matematica,unidade-02-fundamentos-matematicos,alcancavel-em-tese,vazio,0,operacoes-com-vetores,entidades-geometricas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,1
CG,animacao-v2,unidade-04-processo-de-visualizacao-2d,gold-vazio,trocado,0,,,desenho-de-linhas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,unidade-04-processo-de-visualizacao-2d,alcancavel-em-tese,trocado,1,sistema-de-coordenadas-cartesianas,,desenho-de-linhas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.00,1.41,1,0,0,0,0,0,0,0,0,0,1,0,1
CG,instanciamento,unidade-04-processo-de-visualizacao-2d,gold-vazio,trocado,0,,,sistema-de-coordenadas-cartesianas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CG,mapeamento,unidade-04-processo-de-visualizacao-2d,alcancavel-em-tese,trocado,0,sistema-de-coordenadas-cartesianas,,recorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.91,4.84,0,0,0,0,0,0,0,0,0,0,1,0,1
