curso,id,cat,metodo,provider,janela,serie,prova,llm_pick,gold,motor_pick,causa,s1,s2,margem,secao,titulo,md_chars
MF,logicaproposicional-semantica,material-de-aula,llm,topic,9,False,False,2edd762f-2dc8-4437-90c7-c207b796434a,2edd762f-2dc8-4437-90c7-c207b796434a,a6ac04f2-7611-4bef-b74a-54390cef4084,margem baixa (<0.55),1.31,0.93,0.29,Revisão - Lógica e Especificação,logicaProposicional_semantica,10581
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,gabaritos,llm,topic,3,False,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Especificações Indutivas e Recursivas,ExerciciosFormalizacaoAlgoritmosRecursao_respostas,1414
MF,formalizacaoalgoritmos-recursao,material-de-aula,llm,topic,3,False,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,5599d015-10e0-4f6e-ad17-c526b903dc09,margem baixa (<0.55),1.06,0.97,0.08,Especificações Indutivas e Recursivas,FormalizacaoAlgoritmos_Recursao,19315
MF,formalizacaoalgoritmos-recursao3,material-de-aula,llm,topic,3,True,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,margem baixa (<0.55),1.28,1.03,0.19,Especificações Indutivas e Recursivas,FormalizacaoAlgoritmos_Recursao3,2360
MF,arvores,codigo-professor,llm,topic,2,False,False,5599d015-10e0-4f6e-ad17-c526b903dc09,5599d015-10e0-4f6e-ad17-c526b903dc09,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),0.73,0.63,0.13,Provas por Indução,arvores,1239
MF,intro,codigo-professor,llm,topic,2,False,False,5599d015-10e0-4f6e-ad17-c526b903dc09,5599d015-10e0-4f6e-ad17-c526b903dc09,5599d015-10e0-4f6e-ad17-c526b903dc09,margem baixa (<0.55),0.88,0.57,0.36,Provas por Indução,intro,1175
MF,listas,codigo-professor,llm,topic,2,False,False,5599d015-10e0-4f6e-ad17-c526b903dc09,5599d015-10e0-4f6e-ad17-c526b903dc09,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),0.73,0.63,0.13,Provas por Indução,listas,1447
MF,correcaoterminacao,material-de-aula,llm,labels,5,False,False,c9f5f7cf-3477-4531-be7a-f7b68727009c,c9f5f7cf-3477-4531-be7a-f7b68727009c,c9f5f7cf-3477-4531-be7a-f7b68727009c,margem baixa (<0.55),4.0,1.9,0.53,Verificação de Programas,CorrecaoTerminacao,12176
MF,exerciciosdafny1,listas,llm,labels,5,True,False,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,margem baixa (<0.55),0.69,0.6,0.14,Verificação de Programas,ExerciciosDafny1,1580
MF,exerciciosdafny2,listas,llm,labels,5,True,False,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,c9f5f7cf-3477-4531-be7a-f7b68727009c,"serie (lexico confiante, vota mesmo assim)",2.39,0.98,0.59,Verificação de Programas,ExerciciosDafny2,3848
MF,exerciciosdafny3,listas,llm,labels,5,True,False,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,"serie (lexico confiante, vota mesmo assim)",2.25,0.69,0.69,Verificação de Programas,ExerciciosDafny3,1559
MF,exerciciosdafny4,listas,llm,labels,5,True,False,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,de7d1b70-fb58-4a18-ad49-d1a64c6c7684,"serie (lexico confiante, vota mesmo assim)",2.88,0.69,0.76,Verificação de Programas,ExerciciosDafny4,3429
MF,exerciciosdafny5,listas,llm,labels,5,True,False,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,margem baixa (<0.55),1.52,1.19,0.21,Verificação de Programas,ExerciciosDafny5,1815
MF,verificacaomodelos,material-de-aula,llm,labels,4,False,False,a6ac04f2-7611-4bef-b74a-54390cef4084,a6ac04f2-7611-4bef-b74a-54390cef4084,a6ac04f2-7611-4bef-b74a-54390cef4084,margem baixa (<0.55),2.54,1.35,0.47,Especificação e Verificação de Modelos,verificacaomodelos,44296
MF,exerciciosnusmv,listas,llm,labels,4,False,False,a6ac04f2-7611-4bef-b74a-54390cef4084,a6ac04f2-7611-4bef-b74a-54390cef4084,37d49c0d-3cc1-4a8b-add6-d82ea868ec52,margem baixa (<0.55),1.77,0.96,0.46,Especificação e Verificação de Modelos,ExerciciosNusmv,3937
MF,classes-parte1,codigo-professor,llm,labels,5,True,False,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,"serie (lexico confiante, vota mesmo assim)",0.6,0.0,1.0,Verificação de Programas,Classes Parte1,0
MF,introducao-zip,codigo-professor,llm,labels,5,False,False,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,e3bc8a61-e729-4f25-9bc5-12b8a47151e3,sem-discriminante (mesmos tokens no 1o e 2o),0.69,0.35,0.5,Verificação de Programas,Introducao,0
MF,exemplos-zip,codigo-professor,llm,labels,4,False,False,a6ac04f2-7611-4bef-b74a-54390cef4084,a6ac04f2-7611-4bef-b74a-54390cef4084,a6ac04f2-7611-4bef-b74a-54390cef4084,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Especificação e Verificação de Modelos,Exemplos,0
MF,plano,cronograma,llm-funil,,0,False,False,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,,sem-janela (funil),0.0,0.0,0.0,Plano de Ensino,plano,5564
MF,classes-parte2,codigo-professor,llm,labels,5,True,False,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0,"serie (lexico confiante, vota mesmo assim)",0.6,0.0,1.0,Verificação de Programas,classes_parte2,0
SO,0205-laminas-segmentacao,material-de-aula,llm,topic,8,False,False,a838bf45-b6d1-48fc-b70b-0bd4de35d1ef,a838bf45-b6d1-48fc-b70b-0bd4de35d1ef,a838bf45-b6d1-48fc-b70b-0bd4de35d1ef,margem baixa (<0.55),3.15,2.76,0.12,Gerência de Memória,02.05 Lâminas Segmentação,12483
SO,exercicios,listas,llm,topic,10,False,False,e4f7e22a-e091-46f8-b70e-a65f387dbf84,e4f7e22a-e091-46f8-b70e-a65f387dbf84,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Gerência de Processos CPU,Exercícios,18435
SO,apresentacao-da-disciplina,material-de-aula,llm-funil,,0,False,False,31997686-f3b5-4ecc-870c-0774732c3ee0,31997686-f3b5-4ecc-870c-0774732c3ee0,,sem-janela (funil),0.0,0.0,0.0,Informações Gerais,Apresentação da Disciplina,7412
SO,plano-de-ensino,cronograma,llm-funil,,0,False,False,31997686-f3b5-4ecc-870c-0774732c3ee0,31997686-f3b5-4ecc-870c-0774732c3ee0,,sem-janela (funil),0.0,0.0,0.0,Informações Gerais,Plano de Ensino,13271
SO,questoes-do-enade-sobre-sisop,listas,llm-funil,,0,False,False,31997686-f3b5-4ecc-870c-0774732c3ee0,31997686-f3b5-4ecc-870c-0774732c3ee0,,sem-janela (funil),0.0,0.0,0.0,Informações Gerais,Questões do ENADE sobre SISOP,9303
SO,definicao-e-historico,material-de-aula,llm-funil,,0,False,False,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,,sem-janela (funil),0.0,0.0,0.0,Introdução aos Sistemas Operacionais,Definição e Histórico,34100
SO,exemplo-criacao-de-processos-no-unix-linux-filho,codigo-professor,llm,topic,5,False,False,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,cfb895fb-78a4-4adc-848a-065e975cd5bf,sem-discriminante (mesmos tokens no 1o e 2o),0.4,0.37,0.07,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - filho,527
SO,exemplo-criacao-de-processos-no-unix-linux-teste01,codigo-professor,llm,topic,5,True,False,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,cfb895fb-78a4-4adc-848a-065e975cd5bf,sem-discriminante (mesmos tokens no 1o e 2o),0.4,0.37,0.07,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste,479
SO,exemplo-criacao-de-processos-no-unix-linux-teste02,codigo-professor,llm,topic,5,True,False,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,cfb895fb-78a4-4adc-848a-065e975cd5bf,sem-discriminante (mesmos tokens no 1o e 2o),0.4,0.37,0.07,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste,729
SO,exemplo-criacao-de-processos-no-unix-linux-teste03,codigo-professor,llm,topic,5,True,False,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,cfb895fb-78a4-4adc-848a-065e975cd5bf,sem-discriminante (mesmos tokens no 1o e 2o),0.4,0.37,0.07,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste,893
SO,laminas-cs-4244-internet-programming-sockets-programming,bibliografia,llm,topic,5,False,False,cfb895fb-78a4-4adc-848a-065e975cd5bf,cfb895fb-78a4-4adc-848a-065e975cd5bf,bdcc7b26-25b0-4102-9c5b-d3af31606ad3,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Sincronização e Comunicação de Processos,Lâminas CS 4244 Internet Programming Sockets Progr,20051
SO,laminas-sockets-material-alternativo-em-pt,bibliografia,llm,topic,5,False,False,cfb895fb-78a4-4adc-848a-065e975cd5bf,cfb895fb-78a4-4adc-848a-065e975cd5bf,cfb895fb-78a4-4adc-848a-065e975cd5bf,margem baixa (<0.55),1.86,0.84,0.55,Sincronização e Comunicação de Processos,Lâminas Sockets (material alternativo em PT),20690
SO,programa,outros,llm-funil,,0,False,False,31997686-f3b5-4ecc-870c-0774732c3ee0,31997686-f3b5-4ecc-870c-0774732c3ee0,,sem-janela (funil),0.0,0.0,0.0,Informações Gerais,Programa,13231
IA,visao-geral-introducao-e-historico,material-de-aula,llm,labels,2,False,False,55691241-63a8-4053-aea8-8a835c90f4f7,55691241-63a8-4053-aea8-8a835c90f4f7,55691241-63a8-4053-aea8-8a835c90f4f7,margem baixa (<0.55),1.27,1.1,0.13,Semana 1 - 02.03 a 06.03 - Plano de Ensi,Visão Geral - Introdução e Histórico,80392
IA,minimax-teoria,material-de-aula,llm,labels,2,False,False,4062d883-01e9-47d1-be03-61ea23b0adff,,1de905a2-724e-4841-8d7b-a62bf7a42212,sem-discriminante (mesmos tokens no 1o e 2o),0.98,0.69,0.29,Semana 15 - 08.06 a 12.06 - Algoritmos d,minimax-teoria,65457
IA,implementacaominimax,codigo-professor,llm,labels,2,False,False,4062d883-01e9-47d1-be03-61ea23b0adff,,1de905a2-724e-4841-8d7b-a62bf7a42212,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Semana 15 - 08.06 a 12.06 - Algoritmos d,ImplementacaoMinimax,0
IA,introducao-a-ml,material-de-aula,llm,labels,2,False,False,fbf15f4c-54b1-489d-bb02-f9bd33dc1bd3,fbf15f4c-54b1-489d-bb02-f9bd33dc1bd3,af22fe17-ee73-407f-9af5-d730739d71e0,margem baixa (<0.55),1.44,1.24,0.14,Semana 2 - 09.03 a 13.03 - Introdução a ,Introdução a ML,65166
IA,algoritmo-de-classificacao-k-nn,material-de-aula,llm,labels,2,False,False,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,af22fe17-ee73-407f-9af5-d730739d71e0,margem baixa (<0.55),1.65,1.17,0.29,Semana 3 - 16.03 a 20.03 - Machine Learn,Algoritmo de Classificação k-NN,37779
IA,artigo-usando-k-nn-em-texto,bibliografia,llm,labels,2,False,False,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,margem baixa (<0.55),1.66,1.49,0.1,Semana 3 - 16.03 a 20.03 - Machine Learn,Artigo usando k-NN em texto,41219
IA,exemplo-de-programa-com-k-nn-em-java,codigo-professor,llm,labels,2,False,False,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,af22fe17-ee73-407f-9af5-d730739d71e0,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Semana 3 - 16.03 a 20.03 - Machine Learn,Exemplo de programa com k-NN (em java),0
IA,lista-de-exercicios-i,listas,llm,labels,2,False,False,4062d883-01e9-47d1-be03-61ea23b0adff,,1de905a2-724e-4841-8d7b-a62bf7a42212,sem-discriminante (mesmos tokens no 1o e 2o),0.98,0.69,0.29,Semana 15 - 08.06 a 12.06 - Algoritmos d,Lista de Exercicios I,9332
IA,respostas-da-lista-i-feito-pela-aluna-chiara,gabaritos,llm,labels,2,False,False,4062d883-01e9-47d1-be03-61ea23b0adff,,1de905a2-724e-4841-8d7b-a62bf7a42212,sem-discriminante (mesmos tokens no 1o e 2o),0.98,0.69,0.29,Semana 15 - 08.06 a 12.06 - Algoritmos d,Respostas da lista I (feito pela aluna Chiara),13357
IA,p2-202401,provas,llm-funil,,0,False,True,4062d883-01e9-47d1-be03-61ea23b0adff,,,sem-janela mas prep-prova?,0.0,0.0,0.0,TDE Trabalho Discente Efetivo,P2 2024.01,7154
IA,p2-202402,provas,llm-funil,,0,False,True,5f917e10-322b-40f4-807d-cef684be70fd,,,sem-janela mas prep-prova?,0.0,0.0,0.0,TDE Trabalho Discente Efetivo,P2 2024.02,4537
IA,analise-exploratoria-de-dados-exemplo-1,codigo-professor,llm,labels,2,False,False,af22fe17-ee73-407f-9af5-d730739d71e0,af22fe17-ee73-407f-9af5-d730739d71e0,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,margem baixa (<0.55),0.5,0.42,0.18,Semana 3 - 16.03 a 20.03 - Machine Learn,Análise Exploratória de Dados - Exemplo 1,11077
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,codigo-professor,llm,labels,2,False,False,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,af22fe17-ee73-407f-9af5-d730739d71e0,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Semana 3 - 16.03 a 20.03 - Machine Learn,Exemplo 2 k-NN (com IRIS.csv) - mais completo,8048
IA,exemplo-com-k-nn,codigo-professor,llm,labels,2,False,False,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f,af22fe17-ee73-407f-9af5-d730739d71e0,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Semana 3 - 16.03 a 20.03 - Machine Learn,Exemplo com k-NN,5994
ES2,microsservicos2,material-de-aula,llm,labels,7,True,False,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),3.12,2.55,0.18,Microsserviços,microsservicos2,16014
ES2,microsservicos3,material-de-aula,llm,labels,7,True,False,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),3.12,2.55,0.18,Microsserviços,microsservicos3,20236
ES2,roteiro1-introducao,material-de-aula,llm,labels,7,False,False,b0e2cc0d-7442-4888-87f2-2a4694598b83,b0e2cc0d-7442-4888-87f2-2a4694598b83,c47823dc-111f-4854-b46e-08acb7063909,margem baixa (<0.55),2.11,1.79,0.15,Microsserviços,Roteiro1_introducao,25081
ES2,roteiro2-nameserver,material-de-aula,llm,labels,7,False,False,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,c47823dc-111f-4854-b46e-08acb7063909,margem baixa (<0.55),2.11,1.52,0.28,Microsserviços,Roteiro2_nameserver,20925
ES2,microsservicos5,material-de-aula,llm,labels,7,True,False,a803a9f7-5aa5-4629-8b93-4531b56119bc,a803a9f7-5aa5-4629-8b93-4531b56119bc,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),2.88,2.55,0.12,Microsserviços,microsservicos5,26159
ES2,microsservicos6,material-de-aula,llm,labels,7,True,False,17b8da72-b970-4db3-b49e-7cd196945b39,17b8da72-b970-4db3-b49e-7cd196945b39,17b8da72-b970-4db3-b49e-7cd196945b39,margem baixa (<0.55),1.86,1.7,0.09,Microsserviços,microsservicos6,31408
ES2,microsservicos7,material-de-aula,llm,labels,7,True,False,f5d645cb-1de3-4538-a03c-a3fce86b4c41,f5d645cb-1de3-4538-a03c-a3fce86b4c41,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),3.26,2.96,0.09,Microsserviços,microsservicos7,27277
ES2,roteiro4-circuitbreaker,material-de-aula,llm,labels,7,False,False,a0d38bad-e123-4b82-b8d0-03f6724b9617,a0d38bad-e123-4b82-b8d0-03f6724b9617,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),3.48,2.93,0.16,Microsserviços,Roteiro4_circuitbreaker,21385
ES2,roteiro5-conteiners,material-de-aula,llm,labels,7,False,False,a803a9f7-5aa5-4629-8b93-4531b56119bc,a803a9f7-5aa5-4629-8b93-4531b56119bc,c47823dc-111f-4854-b46e-08acb7063909,margem baixa (<0.55),2.96,2.93,0.01,Microsserviços,Roteiro5_conteiners,22786
ES2,roteiro6-conteiners-composicao,material-de-aula,llm,labels,7,False,False,a803a9f7-5aa5-4629-8b93-4531b56119bc,,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),1.74,1.74,0.0,Microsserviços,Roteiro6_conteiners_composicao,11177
ES2,roteiro7-filas,material-de-aula,llm,labels,7,False,False,f5d645cb-1de3-4538-a03c-a3fce86b4c41,f5d645cb-1de3-4538-a03c-a3fce86b4c41,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),2.25,2.11,0.06,Microsserviços,Roteiro7_filas,29932
ES2,roteiro8-autenticacao-autorizacao,material-de-aula,llm,labels,7,False,False,17b8da72-b970-4db3-b49e-7cd196945b39,17b8da72-b970-4db3-b49e-7cd196945b39,17b8da72-b970-4db3-b49e-7cd196945b39,margem baixa (<0.55),1.86,1.52,0.18,Microsserviços,Roteiro8_autenticacao_autorizacao,14337
ES2,plano,cronograma,llm-funil,,0,False,False,c47823dc-111f-4854-b46e-08acb7063909,c47823dc-111f-4854-b46e-08acb7063909,,sem-janela (funil),0.0,0.0,0.0,Plano de Ensino,plano,5904
ES2,microsservicos,material-de-aula,llm,labels,7,False,False,c47823dc-111f-4854-b46e-08acb7063909,c47823dc-111f-4854-b46e-08acb7063909,c47823dc-111f-4854-b46e-08acb7063909,margem baixa (<0.55),3.81,3.45,0.09,Microsserviços,microsservicos,82464
ES2,azure,material-de-aula,llm,labels,7,False,False,a803a9f7-5aa5-4629-8b93-4531b56119bc,f5d645cb-1de3-4538-a03c-a3fce86b4c41,c47823dc-111f-4854-b46e-08acb7063909,margem baixa (<0.55),0.85,0.44,0.48,Microsserviços,Azure,12152
ES2,microsservicos4,material-de-aula,llm,labels,7,True,False,a0d38bad-e123-4b82-b8d0-03f6724b9617,a0d38bad-e123-4b82-b8d0-03f6724b9617,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),3.26,2.7,0.17,Microsserviços,microsservicos4,13656
ES2,roteiro3-gateway,material-de-aula,llm,labels,7,False,False,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,8a2e86f0-fb4a-4487-86ec-07e74c73d88a,margem baixa (<0.55),2.99,2.11,0.29,Microsserviços,Roteiro3_gateway,15307
ES2,kubernetes,material-de-aula,llm,labels,2,False,False,22a44498-820a-4731-a0be-047f500a1f52,,22a44498-820a-4731-a0be-047f500a1f52,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,DevOps,Kubernetes,7496
TCC,plano-de-ensino,cronograma,llm-funil,,0,False,False,667491f1-cffe-45f5-8b3f-29b0cec9d25a,667491f1-cffe-45f5-8b3f-29b0cec9d25a,,sem-janela (funil),0.0,0.0,0.0,sem-secao,Plano de Ensino,10720
TCC,t1-enunciado,trabalhos,llm,topic,2,False,True,d186cb31-790d-442f-9af0-df306a4dd8e4,d186cb31-790d-442f-9af0-df306a4dd8e4,e4678122-f30f-4385-bbed-3a682d728920,prova/trabalho sem due: vota sempre,0.0,0.0,0.0,Semana 3 - Operações de Minimização e Tr,T1 - Enunciado,5948
CG,computacao-grafica-modelagem-de-solidos,outros,llm,topic,2,False,False,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,466f40c8-c9e4-4277-96fb-1702d28db350,margem baixa (<0.55),0.78,0.78,0.0,12 - Modelagem Geométrica,computacao-grafica-modelagem-de-solidos,13795
CG,csg,outros,llm,topic,2,False,False,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,,48a4f134-20b9-48cc-8dd7-04cdfd3d55d2,margem baixa (<0.55),1.55,0.78,0.5,12 - Modelagem Geométrica,CSG,8781
CG,basico3d-py,codigo-professor,llm,topic,2,False,False,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,13 - Computação Gráfica 3D,Basico3D-PY,0
CG,biblioteca-grafica-opengl,outros,llm,topic,2,False,False,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,13 - Computação Gráfica 3D,biblioteca-grafica-opengl,4299
CG,computacao-grafica-visualizacao-3d,outros,llm,topic,2,False,False,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,margem baixa (<0.55),1.27,1.27,0.0,13 - Computação Gráfica 3D,computacao-grafica-visualizacao-3d,17488
CG,opengl-3d,outros,llm,topic,2,False,False,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,,f0ae3402-9d52-4f0e-b22d-5fdcf8bc72c7,margem baixa (<0.55),1.27,1.27,0.0,13 - Computação Gráfica 3D,opengl-3d,7996
