block_uuid,block_id,date_start,date_end,kind,topic_text,unit_slug_atual,true_unit,notes
dd0e0019-dbc5-46d1-85f6-e56e47d323df,bloco-18,2026-05-13,2026-05-13,class,correcao,unidade-03-problemas-indecidiveis,,correcao P1
74265198-aa3e-4d9d-8001-049cbc79710f,bloco-19,2026-05-15,2026-05-22,class,classes problemas complexidade tempo espaco teorema savitch complete hard intractability reducao,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,
662e65b5-9aac-4e6b-ab88-04e1934814d4,bloco-20,2026-05-27,2026-05-27,academic_event,evento academico,,,
8381911b-f873-4081-a009-8df04644ffc7,bloco-21,2026-05-29,2026-05-29,workshop,oficina problemas entrega,,,"conteudo de u04 (oficina de problemas), mas politica workshop = sem unidade; insumo covered_units"
224e19c2-5329-44d8-a47e-9a7fdf1f36c3,bloco-22,2026-06-03,2026-06-03,class,theorema cook levin,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,
773dd63d-f893-4000-a5a3-39901982e2c4,bloco-23,2026-06-05,2026-06-05,deliverable,complexidade tempo classe hard reducao problemas complete pspace trabalho,,,FORA DA RÉGUA (kind=deliverable)
dfd5b65d-4aa6-445b-bad1-bf86b1b672b5,bloco-24,2026-06-10,2026-06-10,deliverable,complexidade tempo pspace trabalho,,,FORA DA RÉGUA (kind=deliverable)
3a7783ef-c47a-4d99-9038-dacc0c4593b9,bloco-25,2026-06-12,2026-06-12,deliverable,oficina problemas entrega trabalho,,,FORA DA RÉGUA (kind=deliverable)
6aa2a456-ce42-46a2-aef7-d4093350237a,bloco-26,2026-06-17,2026-06-17,review,oficina problemas trabalho,,,FORA DA RÉGUA (kind=review)
0436d362-3008-4248-93bd-e95316f4f4cf,bloco-27,2026-06-19,2026-06-19,deliverable,oficina problemas trabalho,,,FORA DA RÉGUA (kind=deliverable)
51209bc4-9ff4-4c5a-9f2c-6270da9147c6,bloco-28,2026-06-24,2026-06-24,deliverable,oficina problemas trabalho,,,FORA DA RÉGUA (kind=deliverable)
4ca9c06b-2f67-46b3-b104-8a32e9373729,bloco-29,2026-06-26,2026-06-26,deliverable,oficina problemas trabalho,,,FORA DA RÉGUA (kind=deliverable)
c4f3f5ef-556c-4695-88ac-710f8f9b8d3f,bloco-30,2026-07-01,2026-07-01,class,para,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,,revisao vespera P2; P2 cobre u03+u04 (regra 2b; antes estava u04)
3408302b-45bd-4f6c-a1f8-7390fcee2cb0,bloco-31,2026-07-03,2026-07-03,assessment,Prova P2,,,FORA DA RÉGUA (kind=assessment)
db1c8dda-147b-444c-a15c-5bd5e0e6fafe,bloco-32,2026-07-08,2026-07-08,assessment,Prova PS,,,FORA DA RÉGUA: tudo (kind=assessment)
69e684b3-8c8d-4edc-a963-ae894b216ceb,bloco-33,2026-07-10,2026-07-10,class,correcao,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,,correcao P2 + prova PS
67636df5-3285-4b52-8d85-3244b82d3638,bloco-34,2026-07-15,2026-07-15,office_hours,atendimento duvidas,,,
42bdf5f1-d3f4-4243-9d6f-4e024fb76b60,bloco-35,2026-07-17,2026-07-17,assessment,,,,FORA DA RÉGUA (kind=assessment)
